Lincoln Memorial,The Lincoln Memorial is a US national memorial built to honor the 16th President of the United States - Abraham Lincoln. It is on the western end of the National Mall and is in the form of a neoclassical temple.,38.8893,-77.0502,images/DC_LicolnMemorial.jpg,0-1hrs
White House,The White House is the official residence and workplace of the president of the United States since John Adams in 1800.,38.8977,-77.0365,images/DC_WhiteHouse.jpg,0-1hrs
Smithsonian National Museum of Natural History,The National Museum of Natural History is a natural history museum administered by the Smithsonian Institution located on the National Mall. It has free admission and is open 364 days a year. The museum collection contains over 145 million specimens.,38.8913,-77.0261,images/DC_SmithsonianNationalMuseum.jpg,2+hrs
National Museum of African American History and Culture,The National Museum of African American History and Culture (NMAAHC) is a Smithsonian Institution museum located on the National Mall. It is the world's largest museum dedicated to African-American history and culture and holds over 40 thousand objects in its collection.,38.8911,-77.0326,images/DC_MuseumofAfricanAmericanHistory.jpg,3-5hrs
U.S. Capitol,The United States Capitol is the meeting place of the United States Congress and the seat of the legislative branch of the U.S. federal government. It is located on Capitol Hill at the eastern end of the National Mall.,38.8899,-77.0091,images/DC_USCapitol.jpg,1-2hrs
National Gallery of Art,The National Gallery of Art - and its attached Sculpture Garden - is a national art museum located on the National Mall. The museum was privately established in 1937 by the United States Congress and is open to the public and free of charge.,38.8913,-77.02,images/DC_NationalGalleryofArt.jpg,2-4hrs
United States Holocaust Memorial Museum,The United States Holocaust Memorial Museum (USHMM) is the United States' official memorial to the Holocaust. The museum provides for the documentation and study of Holocaust history. ,38.8867,-77.0326,images/DC_HolocaustMemorial.jpg,2-3hrs
Library of Congress,The Library of Congress (LC) is the research library that officially serves the United States Congress and is the de facto national library of the United States. It is the oldest federal cultural institution in the United States.,38.8887,-77.0047,images/DC_LibraryofCongress.jpg,1-3hrs
National Air and Sapce Museum,The National Air and Space Museum is a center for research into the history and science of aviation and spaceflight.The Smithsonian museum is also a planetary science and terrestrial geology and geophysics.,38.8882,-77.0199,images/DC_NatAirSpaceMuseum.jpg,2-3hrs
Vietnam veterans Memorial ,The Vietnam Veterans Memorial is a U.S. national memorial in D.C. honoring service members of the U.S. armed forces who fought in the Vietnam War.,38.8913,-77.0477,images/DC_VietnamMemorial.jpg,0-1hrs
National Mall,The National Mall is a landscaped park within the National Mall and Memorial Parks. It is an official unit of the United States National Park System. The mall often refers to the entire area between the Lincoln Memorial on the west and east to the United States Capitol grounds.,38.8875,-77.0364,images/DC_NationalMall.jpg,3-5hrs
Martin Luther King Jr. Memorial,The Martin Luther King Jr. Memorial is located in West Potomac Park next to the National Mall. The memorial includes the Stone of Hope - a granite statue of Civil Rights Movement leader Martin Luther King Jr.,38.8862,-77.0442,images/DC_MLKMemorial.jpg,0-1hrs
Korean War Veterans Memorial,The Korean War Veterans Memorial is located southeast of the Lincoln Memorial and just south of the Reflecting Pool on the National Mall. It memorializes those who served in the Korean War.,38.8878,-77.0478,images/DC_KoreanMemorial.jpg,0-1hrs
Washington Monument,The Washington Monument is an obelisk within the National Mall built to commemorate George Washington - once commander-in-chief of the Continental Army in the American Revolutionary War and the first President of the United States.,38.8895,-77.0353,images/DC_WashingtonMonument.jpg,0-1hrs
Ford's Theater,Ford's Theater is a theater located in Washington D.C. which opened in August 1863. It is famous for being the site of the assassination of United States President Abraham Lincoln on April 14 1865.,38.8967,-77.0256,images/DC_FordsTheater.jpg,2-3hrs
Georgetown,Georgetown is a historic neighborhood and a commercial and entertainment district located in northwest D.C. situated along the Potomac River. The town was founded in 1751 in the Province of Maryland.,38.9097,-77.0654,images/DC_Georgetown.jpg,3+hrs
World War II Memorial,The World War II Memorial is a memorial of national significance dedicated to Americans who served in the armed forces and as civilians during World War II in the National Mall.,38.8894,-77.0405,images/DC_WW2Memorial.jpg,0-1hrs
